epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.051,4.6987,5.12988,4.21036,8e-05,0.00093,4e-05,2e-05,4.49629,4.79514,4.15663,0.000192436,0.000192436,0.000192436
2,755.131,4.57729,4.77378,4.05604,0.00011,0.00012,5e-05,1e-05,4.49948,5.41643,4.31332,0.000375618,0.000375618,0.000375618
3,1125.62,4.15699,4.28471,3.76159,0.54267,0.00904,0.00162,0.00051,3.72553,3.94089,3.69552,0.000545864,0.000545864,0.000545864
4,1515.24,3.80559,3.91525,3.38336,0.39629,0.02225,0.00522,0.00175,3.4422,4.20564,3.06312,0.000529788,0.000529788,0.000529788
5,1859.25,3.51035,3.48865,2.92286,0.57197,0.02271,0.01678,0.00613,3.1915,3.00576,2.66769,0.000510384,0.000510384,0.000510384
6,2224.99,3.35059,3.22224,2.6065,0.13097,0.07203,0.04047,0.0184,3.00176,2.75966,2.34235,0.00049098,0.00049098,0.00049098
7,2630.59,3.21147,3.02213,2.3973,0.05575,0.07904,0.05472,0.02499,2.97889,2.57326,2.17696,0.000471576,0.000471576,0.000471576
8,3092.69,3.12273,2.87352,2.21951,0.03267,0.08875,0.04238,0.01739,2.86567,2.51553,2.05961,0.000452172,0.000452172,0.000452172
9,3560.14,3.06776,2.78996,2.11197,0.0572,0.08125,0.0469,0.01947,2.87191,2.45137,1.95432,0.000432768,0.000432768,0.000432768
10,3981.56,2.94726,2.68045,1.99593,0.09708,0.06427,0.05863,0.02686,2.83953,2.4192,1.85921,0.000413364,0.000413364,0.000413364
11,4425.45,2.94178,2.61465,1.94457,0.15979,0.06285,0.05926,0.02682,2.80338,2.38134,1.8509,0.00039396,0.00039396,0.00039396
12,4820.17,2.90881,2.54266,1.87344,0.24179,0.0673,0.06868,0.03003,2.7798,2.2935,1.76984,0.000374556,0.000374556,0.000374556
13,5251.38,2.83899,2.49967,1.84667,0.18446,0.07972,0.072,0.03354,2.7576,2.26209,1.73774,0.000355152,0.000355152,0.000355152
14,5634.53,2.84158,2.47061,1.80618,0.17023,0.08023,0.07667,0.03525,2.6699,2.23058,1.69756,0.000335748,0.000335748,0.000335748
15,5993.5,2.79294,2.42293,1.74041,0.25457,0.08726,0.07808,0.03601,2.63786,2.17485,1.66968,0.000316344,0.000316344,0.000316344
16,6353.43,2.78714,2.41918,1.73207,0.33905,0.09423,0.08579,0.04127,2.6117,2.16102,1.64564,0.00029694,0.00029694,0.00029694
17,6823.58,2.72742,2.36177,1.68629,0.18155,0.1049,0.08728,0.04128,2.61435,2.12653,1.60269,0.000277536,0.000277536,0.000277536
18,7275.57,2.71326,2.35063,1.65604,0.3435,0.10689,0.12978,0.05095,2.58816,2.1024,1.58924,0.000258132,0.000258132,0.000258132
19,7643.87,2.69173,2.33188,1.64671,0.15656,0.18184,0.15549,0.0655,2.71486,2.21776,1.64017,0.000238728,0.000238728,0.000238728
20,8022.91,2.69426,2.31189,1.64035,0.11847,0.1916,0.13972,0.07277,2.53844,2.04106,1.54739,0.000219324,0.000219324,0.000219324
21,8367.7,2.70381,2.49321,1.63868,0.34069,0.10787,0.09892,0.04551,2.58646,2.13373,1.54996,0.00019992,0.00019992,0.00019992
22,8586.65,2.68502,2.40585,1.59458,0.27266,0.11146,0.14312,0.07626,2.57774,2.14152,1.5112,0.000180516,0.000180516,0.000180516
23,8794.42,2.6623,2.3641,1.58053,0.10613,0.18904,0.12844,0.06718,2.55643,2.0992,1.50125,0.000161112,0.000161112,0.000161112
24,8945.75,2.67508,2.36237,1.57304,0.44477,0.1198,0.16372,0.09674,2.5113,2.05193,1.4987,0.000141708,0.000141708,0.000141708
25,9137.56,2.64316,2.31957,1.55861,0.14708,0.19444,0.15213,0.08571,2.52131,2.05844,1.48493,0.000122304,0.000122304,0.000122304
26,9403.26,2.64684,2.312,1.54294,0.114,0.21676,0.14539,0.0797,2.52117,2.05828,1.48746,0.0001029,0.0001029,0.0001029
27,9589.11,2.63862,2.29855,1.54523,0.16258,0.21303,0.17105,0.09557,2.49189,2.02811,1.47798,8.3496e-05,8.3496e-05,8.3496e-05
28,9787.16,2.63873,2.33083,1.54472,0.14559,0.20394,0.15629,0.08808,2.48885,2.02297,1.47722,6.4092e-05,6.4092e-05,6.4092e-05
29,10089.1,2.63822,2.30996,1.54397,0.16472,0.20467,0.16632,0.09461,2.48466,2.02287,1.4669,4.4688e-05,4.4688e-05,4.4688e-05
